_id,sourceId,__v,author,content,createdAt,emoji_present,keyword,language,platform,postedAt,title,type,updatedAt,upvotes,source_url
6a35971fe6dc3b1b72bed03a,yt_comment_Ugw_t1b0MWRXplgxPS94AaABAg,0,@SimplilearnOfficial,"""🔥Michigan Engineering - Professional Certificate in AI and Machine Learning - https://www.simplilearn.com/professional-aiml-program?utm_campaign=ukzFI9rgwfU&utm_medium=Comments&utm_source=Youtube\n🔥IIT Kanpur - Professional Certificate Course in Generative AI and Machine Learning - https://www.simplilearn.com/iitk-professional-certificate-course-ai-machine-learning?utm_campaign=ukzFI9rgwfU&utm_medium=Comments&utm_source=Youtube\n🔥Microsoft AI Engineer Program - https://www.simplilearn.com/ai-engineer-course?utm_campaign=ukzFI9rgwfU&utm_medium=Comments&utm_source=Youtube\n🔥IIT Delhi - Generative AI, Machine Learning, And Intelligent Automation - https://www.simplilearn.com/ihfc-iitd-gen-ai-automation-course?utm_campaign=ukzFI9rgwfU&utm_medium=Comments&utm_source=Youtube""",2026-06-19T19:23:11.043Z,true,Machine Learning,english,youtube,2021-09-02T18:03:09.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.228Z,188,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed03b,yt_reply_Ugw_t1b0MWRXplgxPS94AaABAg.9RnXpVpPxJq9YJAxifg_vV,0,@shifabegum5142,G.,2026-06-19T19:23:11.082Z,false,Machine Learning,english,youtube,2022-02-11T13:26:35.000Z,Reply to: @SimplilearnOfficial,comment,2026-06-19T19:32:22.262Z,10,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed03c,yt_comment_Ugz1QtUlQztqsv02j9p4AaABAg,0,@GidgetLopeman,This video goes straight to my favorites!,2026-06-19T19:23:11.085Z,false,Machine Learning,english,youtube,2026-06-06T21:16:13.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.268Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed03d,yt_reply_Ugz1QtUlQztqsv02j9p4AaABAg.AXj5VK9gp1kAXurJdFHtK3,0,@SimplilearnOfficial,"Hi there! Thanks for your comment. 😊\n\nTo learn more about this topic explore our free learning resources, please visit: https://www.simplilearn.com/resources?utm_campaign=Comments&utm_medium=Comments&utm_source=youtube\n\nWe hope you find it helpful!",2026-06-19T19:23:11.088Z,true,Machine Learning,english,youtube,2026-06-11T10:54:26.000Z,Reply to: @GidgetLopeman,comment,2026-06-19T19:32:22.272Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed03e,yt_comment_Ugw-ccOEyME5eC7ie4B4AaABAg,0,@AllyJaha-u6s,please make a series of this by partition a long video of 6 or more hours,2026-06-19T19:23:11.093Z,false,Machine Learning,english,youtube,2026-06-06T18:55:51.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.276Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed03f,yt_reply_Ugw-ccOEyME5eC7ie4B4AaABAg.AXiqR74EPI4AXplWO3Kt_5,0,@SimplilearnOfficial,Stick around as we have a tutorial on the same coming up soon.,2026-06-19T19:23:11.095Z,false,Machine Learning,english,youtube,2026-06-09T11:27:33.000Z,Reply to: @AllyJaha-u6s,comment,2026-06-19T19:32:22.279Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed040,yt_comment_Ugyh7lMpmdV7OAeirAl4AaABAg,0,@AllyJaha-u6s,please make a series of this by partition a long video of 6 or more hours,2026-06-19T19:23:11.098Z,false,Machine Learning,english,youtube,2026-06-06T18:55:23.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.283Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed041,yt_reply_Ugyh7lMpmdV7OAeirAl4AaABAg.AXiqNqLfoO_AXplWuo8h6Q,0,@SimplilearnOfficial,Stick around as we have a tutorial on the same coming up soon.,2026-06-19T19:23:11.100Z,false,Machine Learning,english,youtube,2026-06-09T11:27:37.000Z,Reply to: @AllyJaha-u6s,comment,2026-06-19T19:32:22.286Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed042,yt_comment_Ugyn38bUpl14NPpEpCJ4AaABAg,0,@AsamoahDarkwah,Machine learning focuses on creating machines that can learn from data rather than being programmed explicitly for every single task.,2026-06-19T19:23:11.103Z,false,Machine Learning,english,youtube,2026-06-04T09:34:22.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.289Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed043,yt_reply_Ugyn38bUpl14NPpEpCJ4AaABAg.AXcga3JBVMPAXutML5lIzO,0,@SimplilearnOfficial,"Hi there! Thanks for your comment. 😊\n\nTo learn more about this topic explore our free learning resources, please visit: https://www.simplilearn.com/resources?utm_campaign=Comments&utm_medium=Comments&utm_source=youtube\n\nWe hope you find it helpful!",2026-06-19T19:23:11.105Z,true,Machine Learning,english,youtube,2026-06-11T11:12:17.000Z,Reply to: @AsamoahDarkwah,comment,2026-06-19T19:32:22.292Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed044,yt_comment_UgzypGayT7dhotrDlYZ4AaABAg,0,@mathsandsciencebypoonam2023,"maam , i want to learn machine learning with chemistry , kindly guide me from where i will start it.",2026-06-19T19:23:11.108Z,false,Machine Learning,english,youtube,2026-06-04T03:07:32.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.295Z,1,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed045,yt_reply_UgzypGayT7dhotrDlYZ4AaABAg.AXc-Js8iJODAXutQ2SqDy7,0,@SimplilearnOfficial,"Hi there! Thanks for your comment. 😊\n\nTo learn more about this topic explore our free learning resources, please visit: https://www.simplilearn.com/resources?utm_campaign=Comments&utm_medium=Comments&utm_source=youtube\n\nWe hope you find it helpful!",2026-06-19T19:23:11.111Z,true,Machine Learning,english,youtube,2026-06-11T11:12:47.000Z,Reply to: @mathsandsciencebypoonam2023,comment,2026-06-19T19:32:22.299Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed046,yt_comment_UgyacStrV0rSw8k8PqB4AaABAg,0,@Unfiltered_Harish,"S1 - Supervised (Beacause you need data for it), S2 - Unsupervised, S3 - Supervised. @Simplilearn",2026-06-19T19:23:11.113Z,false,Machine Learning,english,youtube,2026-06-02T10:40:47.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.302Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed047,yt_reply_UgyacStrV0rSw8k8PqB4AaABAg.AXYeahYQJbcAXcUmO4G779,0,@SimplilearnOfficial,"Hi there! Thanks for your comment. 😊\n\nTo learn more about this topic explore our free learning resources, please visit: https://www.simplilearn.com/resources\n\nWe hope you find it helpful!",2026-06-19T19:23:11.115Z,true,Machine Learning,english,youtube,2026-06-04T07:42:27.000Z,Reply to: @Unfiltered_Harish,comment,2026-06-19T19:32:22.306Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed048,yt_comment_Ugwbr1c0BSK4dpWXa0Z4AaABAg,0,@HWL_tech_mods,"Really interesting video, the explanation was clear and easy to follow 👍",2026-06-19T19:23:11.118Z,true,Machine Learning,english,youtube,2026-04-21T12:34:39.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.308Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed049,yt_reply_Ugwbr1c0BSK4dpWXa0Z4AaABAg.AVriEwo6XsfAVwf_wgI4i1,0,@SimplilearnOfficial,Keep learning with us .Stay connected with our channel and team :) . Do subscribe the channel for more updates : ),2026-06-19T19:23:11.120Z,false,Machine Learning,english,youtube,2026-04-23T10:47:38.000Z,Reply to: @HWL_tech_mods,comment,2026-06-19T19:32:22.312Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04a,yt_comment_UgyNQBmCf5t1CCxbDjJ4AaABAg,0,@AbdullahA-x1p,Before this video: confusion. After this video: unstoppable.,2026-06-19T19:23:11.123Z,false,Machine Learning,english,youtube,2026-04-04T01:42:34.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.315Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04b,yt_reply_UgyNQBmCf5t1CCxbDjJ4AaABAg.AV9m69XRNzKAVFO6S4bdHy,0,@SimplilearnOfficial,Keep learning with us .Stay connected with our channel and team :) . Do subscribe the channel for more updates : ),2026-06-19T19:23:11.126Z,false,Machine Learning,english,youtube,2026-04-06T05:59:36.000Z,Reply to: @AbdullahA-x1p,comment,2026-06-19T19:32:22.319Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04c,yt_comment_UgwZYOVWFl0QEmYFfU14AaABAg,0,@NuthanDrshivu-e6d,Anyone in 2026🎉🎉,2026-06-19T19:23:11.129Z,true,Machine Learning,english,youtube,2026-02-08T16:33:19.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.321Z,2,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04d,yt_reply_UgwZYOVWFl0QEmYFfU14AaABAg.ASykK-FeY66AT7k5wsvsK0,0,@SimplilearnOfficial,Keep learning with us .Stay connected with our channel and team :) . Do subscribe the channel for more updates : ),2026-06-19T19:23:11.132Z,false,Machine Learning,english,youtube,2026-02-12T13:43:48.000Z,Reply to: @NuthanDrshivu-e6d,comment,2026-06-19T19:32:22.324Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04e,yt_comment_UgxU6yDrWi3m_mzwztR4AaABAg,0,@KarenAngwi,2-reinforced learning 5:48,2026-06-19T19:23:11.134Z,false,Machine Learning,english,youtube,2026-02-07T10:44:28.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.327Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed04f,yt_reply_UgxU6yDrWi3m_mzwztR4AaABAg.ASvYb1rphcMAT4utuPdyg7,0,@SimplilearnOfficial,"Hi, you got the correct answer. Kudos!",2026-06-19T19:23:11.137Z,false,Machine Learning,english,youtube,2026-02-11T11:20:25.000Z,Reply to: @KarenAngwi,comment,2026-06-19T19:32:22.329Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed050,yt_comment_UgxXJ5MvVA7vEe5JWxh4AaABAg,0,@ShahidAkhter-x2v,machine learning should be named teaching machine!,2026-06-19T19:23:11.140Z,false,Machine Learning,english,youtube,2026-02-05T19:37:41.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.333Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
6a35971fe6dc3b1b72bed051,yt_comment_UgzcLRCV2cBSBvSHjcd4AaABAg,0,@raghurajsinghshekhawat8454,Great😊,2026-06-19T19:23:11.143Z,true,Machine Learning,english,youtube,2026-01-27T05:41:21.000Z,Machine Learning | What Is Machine Learning? | Introduction To Machine Learning | 2026 | Simplilearn,comment,2026-06-19T19:32:22.337Z,0,https://www.youtube.com/watch?v=ukzFI9rgwfU
